action,landmark,variation,order,goal,task_id
open door to outside,False,294,0,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to outside,False,294,1,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to green house,False,294,2,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to green house,False,294,3,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to hallway,False,294,4,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to hallway,False,294,5,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to workshop,False,294,6,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to workshop,False,294,7,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
focus on red wire,False,294,8,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
move red wire to red box,False,294,9,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
